Roles
PE
PL
PM
TE
TL
TM
VPE
VPL
VOS
BUH
SR_MGMT 
TA_HEAD
TA_STAFF
SALES_HEAD
SALES_STAFF
HR_STAFF
HR_MGR
FIN_MGR
FIN_STAFF
OPS_HEAD
OPS_STAFF
